DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
7/15/24,06:31:01,TRD,5033840013,BOT +1 SPX 100 (Weeklys) 22 JUL 24 5620 PUT @19.50,-0.53,-0.65,-1950,98048.82
7/22/24,22:00:00,EXP,5038002636,Automatic Expiration 1.0,,,5559,103607.82
8/12/24,12:20:22,TRD,5048935795,BOT +10 VERTICAL AAPL 100 16 AUG 24 215/217.5 CALL @1.62,-0.16,-13,-1620,101974.66
8/15/24,06:31:04,TRD,5050344929,SOLD -10 VERTICAL AAPL 100 16 AUG 24 215/217.5 CALL @2.45,-0.27,-13,2450,104411.39
8/15/24,07:42:43,TRD,5050642466,BOT +10 VERTICAL AAPL 100 (Weeklys) 23 AUG 24 225/227.5 CALL @1.20,-0.15,-13,-1200,103198.24
8/19/24,11:37:55,TRD,5052300305,SOLD -10 VERTICAL AAPL 100 (Weeklys) 23 AUG 24 225/227.5 CALL @1.02,-0.15,-13,1020,104205.09
8/20/24,06:40:45,TRD,5052527110,BOT +100 TTNP @10.78,,,-1078,103127.09
8/20/24,06:45:31,TRD,5052541718,SOLD -100 TTNP @9.90,-0.02,,990,104117.07
8/20/24,06:56:14,TRD,5052574539,BOT +100 RR @1.335,,,-133.5,103983.57
8/20/24,07:02:34,TRD,5052595315,SOLD -50 RR @1.375,-0.01,,68.75,104052.31
8/20/24,07:04:31,TRD,5052599252,SOLD -50 RR @1.455,-0.01,,72.75,104125.05
8/21/24,09:45:02,TRD,5053507111,BOT +100 NEON @4.63,,,-463,103662.05
8/21/24,09:52:11,TRD,5053511966,SOLD -100 NEON @4.55,-0.01,,455,104117.04
8/21/24,10:20:42,TRD,5053539029,BOT +100 GXAI @2.80,,,-280,103837.04
8/21/24,10:20:51,TRD,5053539035,SOLD -100 GXAI @3.08,-0.01,,308,104145.03
8/21/24,10:26:26,TRD,5053542764,"BOT +1,000 GOVX @6.95",,,-6950,97195.03
8/21/24,10:33:07,TRD,5053546873,SOLD -100 GOVX @7.02,-0.01,,702,97897.02
8/21/24,10:33:11,TRD,5053546874,SOLD -100 GOVX @7.02,-0.01,,702,98599.01
8/21/24,10:33:13,TRD,5053546875,SOLD -100 GOVX @7.02,-0.01,,702,99301
8/21/24,10:33:17,TRD,5053546877,SOLD -100 GOVX @7.02,-0.01,,702,100002.99
8/21/24,10:33:21,TRD,5053546878,SOLD -100 GOVX @7.02,-0.01,,702,100704.98
8/21/24,10:33:24,TRD,5053546880,SOLD -100 GOVX @7.03,-0.01,,703,101407.97
8/21/24,10:33:27,TRD,5053546881,SOLD -100 GOVX @7.04,-0.01,,704,102111.96
8/21/24,10:33:29,TRD,5053546882,SOLD -100 GOVX @7.04,-0.01,,704,102815.95
8/21/24,10:34:01,TRD,5053546886,SOLD -100 GOVX @7.05,-0.01,,705,103520.94
8/21/24,10:34:03,TRD,5053546887,SOLD -100 GOVX @7.04,-0.01,,704,104224.93
8/22/24,08:28:25,TRD,5054094403,BOT +100 BENF @2.57,,,-257,103967.93
8/22/24,08:35:36,TRD,5054105232,SOLD -100 BENF @2.61,-0.01,,261,104228.92
8/22/24,08:42:26,TRD,5054115977,"BOT +1,000 MOBX @1.055",,,-1055,103173.92
8/22/24,08:43:51,TRD,5054118372,"SOLD -1,000 MOBX @1.105",-0.02,,1105,104278.9
8/22/24,11:48:35,TRD,5054328938,BOT +100 GRFS @8.76,,,-876,103402.9
8/22/24,11:54:56,TRD,5054335642,SOLD -100 GRFS @8.76,-0.01,,876,104278.89
8/22/24,12:01:06,TRD,5054341670,BOT +100 AMS @3.41,,,-341,103937.89
8/22/24,12:09:49,TRD,5054350375,SOLD -100 AMS @3.40,-0.01,,340,104277.88
8/23/24,06:38:41,TRD,5054524487,BOT +100 GDC @11.18,,,-1118,103159.88
8/23/24,06:39:11,TRD,5054526549,SOLD -100 GDC @11.80,-0.02,,1180,104339.86
8/23/24,06:42:43,TRD,5054538050,BOT +25 GDC @9.66,,,-241.5,104098.36
8/23/24,06:49:27,TRD,5054558455,SOLD -25 GDC @9.10,-0.01,,227.5,104325.85
8/23/24,06:52:49,TRD,5054567791,BOT +100 APDN @2.52,,,-252,104073.85
8/23/24,06:55:27,TRD,5054575581,SOLD -100 APDN @2.72,-0.01,,272,104345.84
8/23/24,06:56:52,TRD,5054580166,BOT +100 APDN @2.78,,,-278,104067.84
8/23/24,06:59:50,TRD,5054586389,BOT +100 APDN @2.85,,,-285,103782.84
8/23/24,07:00:13,TRD,5054588150,SOLD -200 APDN @2.91,-0.01,,582,104364.83
8/23/24,07:02:06,TRD,5054597124,BOT +100 APDN @3.03,,,-303,104061.83
8/23/24,07:03:23,TRD,5054602226,SOLD -100 APDN @3.09,-0.01,,309,104370.82
8/23/24,07:05:10,TRD,5054609026,BOT +100 APDN @3.33,,,-333,104037.82
8/23/24,07:06:34,TRD,5054613438,SOLD -100 APDN @3.27,-0.01,,327,104364.81
8/23/24,07:07:03,TRD,5054615817,BOT +100 APDN @3.49,,,-349,104015.81
8/23/24,07:07:32,TRD,5054615898,SOLD -100 APDN @3.13,-0.01,,313,104328.8
8/23/24,07:07:53,TRD,5054617148,BOT +100 APDN @2.92,,,-292,104036.8
8/23/24,07:08:58,TRD,5054618982,BOT +100 APDN @2.96,,,-296,103740.8
8/23/24,07:10:13,TRD,5054623518,SOLD -200 APDN @2.83,-0.01,,566,104306.79
8/23/24,07:11:12,TRD,5054626548,BOT +300 APDN @2.81,,,-843,103463.79
8/23/24,07:13:18,TRD,5054633206,SOLD -300 APDN @2.75,-0.01,,825,104288.78
8/23/24,07:18:54,TRD,5054649918,BOT +300 APDN @2.95,,,-885,103403.78
8/23/24,07:19:27,TRD,5054649961,SOLD -300 APDN @2.95,-0.01,,885,104288.77
8/23/24,07:19:31,TRD,5054649972,BOT +300 APDN @3.04,,,-912,103376.77
8/23/24,07:22:19,TRD,5054657311,SOLD -300 APDN @2.96,-0.02,,888,104264.75
